Skill,Description
Inbound Marketing,Hiya l-fen ta3 t3arraf 3al produit mt3ek b-tari9a t5alli l-nas yjiwlek wahdhom b-tari9a mnadhma w nadhifa. Tnajem tsta3mel l-social media w l-SEO bash tla9i l-nas. Y3awn fi l-entreprises w l-5idma l-kbira bash l-bea3 yzid w l-marque tnajja7.
Outbound Marketing,Hiya l-fen ta3 t3arraf 3al produit mt3ek b-tari9a t5allik tla9i l-nas b-tari9a mnadhma w nadhifa. Tnajem tsta3mel l-email w l-telephone bash tla9i l-nas. Y3awn fi l-entreprises w l-5idma l-kbira bash l-bea3 yzid w l-marque tnajja7.
Trade Marketing,Hiya l-fen ta3 t3arraf 3al produit mt3ek fi l-ma7alat w l-su9 b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-bea3. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit ynajja7 w l-bea3 yzid.
Retail Management,Hiya l-fen ta3 tnadhem l-ma7alat w t5alli l-produit mt3ek ybi3 b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat ta3 l-nas w t7ot khattat l-bea3. Y3awn fi l-entreprises w l-5idma l-kbira bash l-bea3 yzid w l-marque tnajja7.
Merchandising,Hiya l-fen ta3 t7ot l-produit mt3ek fi l-ma7alat b-tari9a t5alli l-nas y7ebbouh b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat ta3 l-nas w t7ot l-produit fi blasa zina. Y3awn fi l-entreprises w l-5idma l-kbira bash l-bea3 yzid w l-marque tnajja7.
Inventory Control,Hiya l-tari9a bash t7afedh 3al 7ajat lli mstockia w t3arf chnouwa moujoud b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-stock. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produits ykounou moujoudin w l-bea3 yzid.
Supply Chain Management,Hiya l-fen ta3 tnadhem l-7ajat men l-fournisseur l-wat3 l-ma7al b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-transport. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produits yjiw fi l-wa9t w l-bea3 yzid.
Logistics,Hiya l-fen ta3 tnadhem l-transport w l-7ajat lli tshrihom w tbi3hom b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-logistique. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produits yjiw fi l-wa9t w l-bea3 yzid.
Warehouse Management,Hiya l-fen ta3 tnadhem l-7ajat fi l-makhzen w t7afedh 3lihom b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat ta3 l-stock w t7ot khattat l-tnadhem. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produits ykounou moujoudin w l-bea3 yzid.
Procurement,Hiya l-fen ta3 tshri l-7ajat lli t7otthom l-entreprise mt3ek b-a7san soum w b-tari9a mnadhma w nadhifa. Tnajem t3arf l-su9 w tla9i l-a7san fournisseurs. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7ajat yjiw fi l-wa9t w l-budget ykoun mnadhem.
Vendor Management,Hiya l-tari9a bash tnadhem l-7ajat m3a l-fournisseurs w t5allihom yemchiw m3ak b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-t3awon. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7ajat yjiw fi l-wa9t w l-5idma ttzid.
Supplier Relationship Management,Hiya l-fen ta3 t5dem m3a l-fournisseurs w t5allihom yemchiw m3ak b-a7san tari9a b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-t3awon. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7ajat yjiw fi l-wa9t w l-5idma ttzid.
Operations Management,Hiya l-fen ta3 tnadhem l-5idma fi l-entreprise w t5allih a7san b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat ta3 l-processus w t7ot khattat l-ta7sin. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Process Improvement,Hiya l-tari9a bash tchouf l-5idma w t5allih a7san w asra3 b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-mochkil w tla9i l-7aloul l-a7san. Y3awn fi l-entreprises w l-5idma l-kbira bash l-processus ykoun sari3 w l-najja7 yzid.
Lean Manufacturing,Hiya l-tari9a bash t3mel l-produits b-a9al west w a7san joudet b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-ta7sin. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produits ykounou nadhifin w l-5idma ttzid.
Six Sigma,Hiya l-tari9a bash t5alli l-5idma ta3 l-entreprise tkoun nadhifa w ma famech erreurs b-tari9a mnadhma kol yom. Tnajem t3arf l-mochkil w tla9i l-7aloul l-a7san. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produits ykounou nadhifin w l-5idma ttzid.
Quality Assurance,Hiya l-fen ta3 t2akked mel kol chay yemchi nadhif w ma famech erreurs fi l-5idma b-tari9a mnadhma. Tnajem tchouf l-produits w tla9i l-mochkil 9bal ma yjiw. Y3awn fi l-entreprises w l-5idma l-kbira bash l-joudet ttzid w l-nas ykounou fer7anin.
Risk Assessment,Hiya l-tari9a bash tchouf l-7ajat lli ynajmou y5asrou w t7ot plan bash t7mi l-5idma b-tari9a mnadhma. Tnajem t3arf l-menaces w tla9i l-7aloul 9bal ma yjiw. Y3awn fi l-entreprises w l-projets bash l-5idma ttzid w l-najja7 ykoun akbar.
Financial Analysis,Hiya l-fen ta3 tchouf l-7isabat w l-flous ta3 l-entreprise bash tfasser l-m3lomat b-tari9a mnadhma w nadhifa. Tnajem t3arf l-budget w tla9i l-7aloul l-mochkil. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Cost Management,Hiya l-tari9a bash tnadhem l-flous w t5alli l-5idma tji b-a9al soum b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat bash ma t5ossh l-budget. Y3awn fi l-entreprises w l-projets bash l-flous yemchiw m3a l-9anoun w l-5idma ttzid.
Time Management,Hiya l-fen ta3 tnadhem l-wa9t mt3ek bash t3mel kol chay fi blasto b-tari9a mnadhma w nadhifa. Tnajem t7ot l-priorites w tla9i l-7aloul bash t5allas l-5idma. Y3awn fi l-entreprises w l-5idma l-yawmiya bash l-koll yemchi m3ak w l-5idma ttzid.
Stakeholder Management,Hiya l-tari9a bash t5dem m3a l-nas lli m3ak fi l-projet w t5allihom fer7anin b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat ta3hom w t7ot khattat l-t3awon. Y3awn fi l-entreprises w l-projets bash l-koll yemchi m3a ba3dhom w l-5idma tnajja7.
Change Leadership,Hiya l-fen ta3 tnadhem l-taghayyurat fi l-entreprise w t5alli l-nas yemchiw m3ak b-tari9a mnadhma w nadhifa. Tnajem t3awn l-equipe w t7ot khattat l-taghayyurat. Y3awn fi l-entreprises w l-5idma l-kbira bash l-taghayyurat tji nadhifa w l-5idma ttzid.
Coaching,Hiya l-fen ta3 t3awn l-nas lli y5admou m3ak ywalliw a7san fi l-5idma b-tari9a mnadhma w nadhifa. Tnajem t7ot khattat l-t3lim w t3awn l-equipe ttzid. Y3awn fi l-entreprises w l-5idma l-kbira bash l-nas ykounou 9wiyin w l-5idma tnajja7.
Mentorship,Hiya l-tari9a bash t3awn l-nas lli y5admou m3ak yt3allmou w ytzidou fi l-5idma b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat ta3 l-equipe w t7ot khattat l-t3lim. Y3awn fi l-entreprises w l-5idma l-kbira bash l-nas ykounou 9wiyin w l-5idma ttzid.
Team Building,Hiya l-fen ta3 t5alli l-equipe mt3ek t5dem m3a ba3dhom b-tari9a mnadhma w nadhifa bash l-5idma ttzid. Tnajem t7ot l-7ajat lli y3awnou l-equipe tkoun fer7ana. Y3awn fi l-entreprises w l-5idma l-kbira bash l-nas ykounou m3a ba3dhom w l-5idma tnajja7.
Conflict Resolution,Hiya l-tari9a bash t7el l-mochkil bin l-nas fi l-equipe b-tari9a mnadhma w nadhifa bash l-koll ykoun fer7an. Tnajem t7ki m3a l-nas w tla9i l-7aloul l-mou7a99a9. Y3awn fi l-entreprises w l-5idma l-kbira bash l-equipe tkoun fer7ana w l-5idma ttzid.
Employee Engagement,Hiya l-fen ta3 t5alli l-nas lli y5admou m3ak y7ebbou l-5idma w ykounou fer7anin b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat ta3 l-equipe w t7ot khattat l-ta7sin. Y3awn fi l-entreprises w l-5idma l-kbira bash l-nas ykounou 9wiyin w l-5idma ttzid.
Organizational Leadership,Hiya l-fen ta3 tnadhem l-entreprise w t5alli l-koll yemchi m3ak b-tari9a mnadhma w nadhifa kol yom. Tnajem t7ot khattat l-5idma w t3awn l-equipe ttzid. Y3awn fi l-entreprises w l-5idma l-kbira bash l-koll ykoun mnadhem w l-5idma tnajja7.
Strategic Leadership,Hiya l-fen ta3 t7ot khattat l-mosta9bel w tnadhem l-entreprise b-tari9a mnadhma w nadhifa bash tnajja7. Tnajem t3arf l-7ajat ta3 l-su9 w tla9i l-7aloul l-mochkil. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Decision Analysis,Hiya l-fen ta3 t5ayyer l-a7san 7aja fi l-wa9t l-mou7a99a9 b-tari9a mnadhma w nadhifa fi l-5idma. Tnajem t3arf l-7ajat w tla9i l-7aloul l-mou7a99a9. Y3awn fi l-entreprises w l-projets bash l-koll yemchi m3ak w l-najja7 ykoun akbar.
Forecasting,Hiya l-fen ta3 t7awel t3arraf chnouwa ynajjem yji fi l-mosta9bel men l-data b-tari9a mnadhma w nadhifa. Tnajem tsta3mel l-7isabat w l-outils bash tfasser l-data. Y3awn fi l-entreprises w l-5idma l-kbira bash t7ot khattat l-mosta9bel w l-najja7 ykoun akbar.
Scenario Planning,Hiya l-tari9a bash t7ot khattat l-7ajat lli ynajmou yjiw fi l-mosta9bel b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot l-7aloul l-koll bash l-5idma ttzid. Y3awn fi l-entreprises w l-5idma l-kbira bash l-khattat tkoun claire w l-najja7 ykoun akbar.
Business Strategy,Hiya l-fen ta3 t7ot khattat l-entreprise bash ttzid w tnajja7 fi l-su9 b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat ta3 l-su9 w tla9i l-7aloul l-mochkil. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Corporate Strategy,Hiya l-tari9a bash tnadhem l-7ajat l-kbira ta3 l-entreprise bash ttzid w tnajja7 b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-twsia3. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Investment Analysis,Hiya l-fen ta3 tchouf l-7ajat lli tnajjem t7ot fiha l-flous bash t5alli l-entreprise ttzid b-tari9a mnadhma. Tnajem t3arf l-7ajat ta3 l-su9 w tla9i l-7aloul l-mou7a99a9. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Portfolio Management,Hiya l-tari9a bash tnadhem l-7ajat lli t7ot fiha l-flous ta3 l-entreprise b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-investissement. Y3awn fi l-entreprises w l-5idma l-kbira bash l-flous yemchiw m3a l-9anoun w l-5idma ttzid.
Financial Modeling,Hiya l-fen ta3 t3mel l-7isabat w l-khattat ta3 l-flous b-tari9a mnadhma w nadhifa fi l-5idma kol yom. Tnajem tsta3mel outils kif Excel bash tfasser l-7isabat. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Valuation,Hiya l-fen ta3 t3arf l-soum ta3 l-entreprise wla l-projet b-tari9a mnadhma w nadhifa fi l-5idma kol yom. Tnajem t3arf l-7ajat w tsta3mel l-7isabat bash tla9i l-soum. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Budget Planning,Hiya l-fen ta3 t7ot khattat l-flous bash tnadhem l-5idma w l-projets b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot l-priorites bash l-budget ykoun mnadhem. Y3awn fi l-entreprises w l-5idma l-kbira bash l-flous yemchiw m3a l-9anoun w l-5idma ttzid.
Cash Flow Management,Hiya l-tari9a bash tnadhem l-flous lli ydkhlo w ykhrjou men l-entreprise b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat bash l-flous ykounou moujoudin. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Revenue Management,Hiya l-fen ta3 tnadhem l-flous lli ydkhlo men l-bea3 bash t5alli l-entreprise ttzid b-tari9a mnadhma. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-bea3. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Profitability Analysis,Hiya l-fen ta3 tchouf l-flous lli t5allihom l-entreprise w t3arf kifach t5allihom ytzidou b-tari9a mnadhma. Tnajem t3arf l-7ajat w tla9i l-7aloul l-mochkil. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Cost-Benefit Analysis,Hiya l-tari9a bash tchouf ken l-7aja t5alli flous akthar men lli t5alleshha b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w tsta3mel l-7isabat bash tfasser. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Accounting Software,Hiya l-branemj lli tsta3mlou bash tnadhem l-7isabat w l-flous b-tari9a mnadhma w nadhifa kol yom. Tnajem tsta3mel outils kif QuickBooks bash t3awn l-equipe. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma tji nadhifa.
Tax Preparation,Hiya l-fen ta3 t7adri l-7isabat ta3 l-flous lli t5alleshom l-dawla b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-9anoun w t7ot khattat bash l-7isabat tkoun claire. Y3awn fi l-entreprises w l-5idma l-kbira bash l-flous yemchiw m3a l-9anoun w l-5idma ttzid.
Auditing,Hiya l-fen ta3 tchouf l-7isabat w t2akked mel kol chay yemchi m3a l-9anoun b-tari9a mnadhma w nadhifa. Tnajem t3arf l-mochkil w tla9i l-7aloul l-a7san. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma tji nadhifa.
Internal Auditing,Hiya l-tari9a bash tchouf l-7isabat ta3 l-entreprise men dakhla w t2akked mel kol chay nadhif b-tari9a mnadhma. Tnajem t3arf l-mochkil w tla9i l-7aloul l-a7san. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Compliance,Hiya l-fen ta3 t7afedh 3al 9anoun w l-7ajat lli yemchiw m3a l-entreprise b-tari9a mnadhma w nadhifa. Tnajem t3arf l-9anoun w t7ot khattat bash l-koll ykoun nadhif. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Regulatory Affairs,Hiya l-tari9a bash t7afedh 3al 9anoun w l-7ajat lli t7otthom l-dawla b-tari9a mnadhma w nadhifa. Tnajem t3arf l-9anoun w t7ot khattat bash l-koll ykoun nadhif. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Legal Compliance,Hiya l-fen ta3 t7afedh 3al 9anoun ta3 l-entreprise w t2akked mel kol chay yemchi nadhif b-tari9a mnadhma. Tnajem t3arf l-9anoun w t7ot khattat bash l-koll ykoun nadhif. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Contract Negotiation,Hiya l-fen ta3 t7ki m3a l-nas bash tla9i l-a7san 3o9oud fi l-5idma b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7a9a9 w t7ot l-fikret l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-3o9oud tji claire w l-5idma ttzid.
Intellectual Property,Hiya l-fen ta3 t7mi l-fikret w l-7ajat lli t3mlhom l-entreprise b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-9anoun w t7ot khattat bash l-fikret tkoun sura. Y3awn fi l-entreprises w l-5idma l-kbira bash l-fikret ttzid w l-5idma tnajja7.
Patent Law,Hiya l-3elm ta3 t7mi l-fikret w l-7ajat lli t3mlhom b-9anoun khass b-tari9a mnadhma w nadhifa. Tnajem t3arf l-9anoun w t7ot khattat bash l-fikret tkoun sura. Y3awn fi l-entreprises w l-5idma l-kbira bash l-fikret ttzid w l-5idma tnajja7.
Trademark Law,Hiya l-3elm ta3 t7mi l-marque mt3ek w t2akked mel 7add ma ysta3mlha b-tari9a mnadhma w nadhifa. Tnajem t3arf l-9anoun w t7ot khattat bash l-marque tkoun sura. Y3awn fi l-entreprises w l-5idma l-kbira bash l-marque ttzid w l-5idma tnajja7.
Corporate Law,Hiya l-3elm ta3 tnadhem l-7ajat ta3 l-entreprise m3a l-9anoun b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-9anoun w t7ot khattat bash l-koll ykoun nadhif. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Mergers and Acquisitions,Hiya l-fen ta3 t5alli l-entreprise mt3ek ttzid b-tari9a tshri wla tbi3 entreprises w5rin b-tari9a mnadhma. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-twsia3. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Corporate Finance,Hiya l-fen ta3 tnadhem l-flous ta3 l-entreprise w t5allihom ytzidou b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-investissement. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Strategic Finance,Hiya l-fen ta3 t7ot khattat l-flous bash l-entreprise ttzid w tnajja7 b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-investissement. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Financial Reporting,Hiya l-fen ta3 t7adri l-7isabat ta3 l-flous w t3arraf 3lihom b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w t7ot khattat bash l-7isabat tkoun claire. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun nadhifa w l-5idma ttzid.
Tax Law,Hiya l-3elm ta3 tnadhem l-flous lli t5alleshom l-dawla m3a l-9anoun b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-9anoun w t7ot khattat bash l-7isabat tkoun claire. Y3awn fi l-entreprises w l-5idma l-kbira bash l-flous yemchiw m3a l-9anoun w l-5idma ttzid.
Business Law,Hiya l-3elm ta3 tnadhem l-7ajat ta3 l-entreprise m3a l-9anoun b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-9anoun w t7ot khattat bash l-koll ykoun nadhif. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7isabat tkoun claire w l-5idma ttzid.
Risk Management,Hiya l-tari9a bash tchouf l-mochkil lli ynajmou yjiw w t7ot plan bash t7mi l-5idma b-tari9a mnadhma. Tnajem t3arf l-menaces w tla9i l-7aloul 9bal ma yjiw. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
Crisis Management,Hiya l-tari9a bash t3alj l-mochkil l-kbira ki tji fi l-entreprise b-tari9a mnadhma w nadhifa kol yom. Tnajem t3arf l-7ajat w tla9i l-7aloul l-mou7a99a9. Y3awn fi l-entreprises w l-5idma l-kbira bash l-mochkil y7all w l-5idma ttzid.
Reputation Management,Hiya l-fen ta3 t7afedh 3al smia ta3 l-entreprise w t5alli l-nas y7ebbouha b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat ta3 l-su9 w t7ot khattat l-ta7sin. Y3awn fi l-entreprises w l-5idma l-kbira bash l-marque tnajja7 w l-nas y7ebbouha.
Media Relations,Hiya l-tari9a bash t5dem m3a l-media w t3arraf 3al marque mt3ek b-tari9a mnadhma w nadhifa kol yom. Tnajem t7ki m3a l-media w t7ot khattat l-t3arraf. Y3awn fi l-entreprises w l-5idma l-kbira bash l-marque tnajja7 w l-nas y7ebbouha.
Press Release Writing,Hiya l-fen ta3 t3mel l-articles lli t3arraf bihom 3al 7ajat jdida ta3 l-entreprise b-tari9a mnadhma w nadhifa. Tnajem tsta3mel l-kalima w t7ot l-fikret l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-marque tnajja7 w l-nas y7ebbouha.
Speech Writing,Hiya l-fen ta3 t3mel l-kalimat lli t7kihom fi l-7afalat w l-7ajat l-kbira b-tari9a mnadhma w nadhifa. Tnajem tsta3mel l-kalima w t7ot l-fikret l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-fikret twalli claire w l-nas y7ebbouha.
Corporate Communications,Hiya l-fen ta3 t7ki m3a l-nas w t3arraf 3al 7ajat ta3 l-entreprise b-tari9a mnadhma w nadhifa. Tnajem tsta3mel l-kalima w t7ot l-fikret l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-fikret twalli claire w l-nas y7ebbouha.
Internal Communications,Hiya l-tari9a bash t7ki m3a l-nas lli y5admou fi l-entreprise w t5allihom yfahmou l-7ajat b-tari9a mnadhma. Tnajem tsta3mel l-kalima w t7ot l-fikret l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-equipe tkoun fer7ana w l-5idma ttzid.
Public Speaking,Hiya l-fen ta3 t7ki 9oddem l-nas w t5alli l-fikret mt3ek twalli claire b-tari9a mnadhma w nadhifa. Tnajem tsta3mel l-kalima w t7ot l-fikret l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-fikret twalli claire w l-nas y7ebbouha.
Presentation Skills,Hiya l-fen ta3 t3mel l-presentations lli t5alli l-nas yfahmou l-fikret mt3ek b-tari9a mnadhma w nadhifa. Tnajem tsta3mel l-swar w l-kalima bash t3awn l-nas. Y3awn fi l-entreprises w l-5idma l-kbira bash l-fikret twalli claire w l-nas y7ebbouha.
Storyboarding,Hiya l-fen ta3 t7ot l-fikret fi swar w khattat bash t5alli l-7kaya claire b-tari9a mnadhma w nadhifa. Tnajem tsta3mel l-swar w t7ot l-fikret l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-fikret twalli claire w l-nas y7ebbouha.
Creative Writing,Hiya l-fen ta3 t3mel l-7kayyet w l-articles b-tari9a t5alli l-nas y7ebbouhom b-tari9a mnadhma w nadhifa. Tnajem tsta3mel l-kalima w t7ot l-fikret l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-fikret twalli claire w l-nas y7ebbouha.
Copywriting,Hiya l-fen ta3 t3mel l-kalimat lli t3arraf 3al produit w t5alli l-nas yshriwh b-tari9a mnadhma w nadhifa. Tnajem tsta3mel l-kalima w t7ot l-fikret l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit ynajja7 w l-nas y7ebbouh.
Editing,Hiya l-fen ta3 t3addi l-articles w l-videos w t5allihom nadhifa w claire b-tari9a mnadhma w sahla kol yom. Tnajem tsta3mel outils kif Adobe Premiere bash t3mel l-7ajat. Y3awn fi l-entreprises w l-5idma l-kbira bash l-produit ynajja7 w l-nas y7ebbouh.
Proofreading,Hiya l-fen ta3 tchouf l-articles w t2akked mel kol chay nadhif w ma famech erreurs b-tari9a mnadhma. Tnajem t3arf l-mochkil w tla9i l-7aloul l-a7san. Y3awn fi l-entreprises w l-5idma l-kbira bash l-7ajat tkoun nadhifa w l-nas y7ebbouha.
Technical Writing,Hiya l-fen ta3 t3mel l-articles lli yfissrou l-7ajat l-3ilmiya b-tari9a mnadhma w nadhifa kol yom. Tnajem tsta3mel l-kalima w t7ot l-fikret l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-fikret twalli claire w l-nas y7ebbouha.
Grant Writing,Hiya l-fen ta3 t3mel l-7ajat lli tla9i bihom l-flous men l-dawla wla l-jam3iyat b-tari9a mnadhma w nadhifa. Tnajem tsta3mel l-kalima w t7ot l-fikret l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-fikret twalli claire w l-flous yjiw.
Proposal Writing,Hiya l-fen ta3 t3mel l-7ajat lli t3arraf 3al projet mt3ek bash tla9i l-t3awon b-tari9a mnadhma w nadhifa. Tnajem tsta3mel l-kalima w t7ot l-fikret l-nadhifa. Y3awn fi l-entreprises w l-5idma l-kbira bash l-fikret twalli claire w l-projet ynajja7.
Instructional Design,Hiya l-fen ta3 t3mel l-7ajat lli t3allem l-nas b-tari9a mnadhma w nadhifa kol yom. Tnajem t7ot khattat l-t3lim w t3awn l-nas yt3allmou b-sahla. Y3awn fi l-entreprises w l-5idma l-kbira bash l-nas ykounou 9wiyin w l-5idma ttzid.
Curriculum Development,Hiya l-fen ta3 t7ot khattat l-t3lim bash l-nas yt3allmou l-7ajat l-mouhima b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat ta3 l-equipe w t7ot khattat l-t3lim. Y3awn fi l-entreprises w l-5idma l-kbira bash l-nas ykounou 9wiyin w l-5idma ttzid.
Training Delivery,Hiya l-fen ta3 t3allem l-nas l-7ajat l-jdida b-tari9a t5allihom yfahmou b-sahla w b-tari9a mnadhma w nadhifa. Tnajem t7ot khattat l-t3lim w t3awn l-equipe ttzid. Y3awn fi l-entreprises w l-5idma l-kbira bash l-nas ykounou 9wiyin w l-5idma ttzid.
Facilitation,Hiya l-fen ta3 tnadhem l-jalsa w t5alli l-nas y7kiou w yla9ou l-7aloul b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat ta3 l-equipe w t7ot khattat l-t3awon. Y3awn fi l-entreprises w l-5idma l-kbira bash l-equipe tkoun fer7ana w l-5idma ttzid.
Workshop Facilitation,Hiya l-fen ta3 tnadhem l-7ajat lli t3allem l-nas fi jalsa khassa b-tari9a mnadhma w nadhifa kol yom. Tnajem t7ot khattat l-t3lim w t3awn l-equipe ttzid. Y3awn fi l-entreprises w l-5idma l-kbira bash l-nas ykounou 9wiyin w l-5idma ttzid.
Learning Management Systems,Hiya l-branemj lli tsta3mlou bash tnadhem l-t3lim w l-7ajat ta3 l-nas b-tari9a mnadhma w nadhifa. Tnajem tsta3mel outils kif Moodle bash t3awn l-equipe. Y3awn fi l-entreprises w l-5idma l-kbira bash l-t3lim ykoun nadhif w l-5idma ttzid.
E-Learning,Hiya l-fen ta3 t3allem l-nas 3al internet b-tari9a mnadhma w nadhifa bash ynajmou yt3allmou men ay blasa. Tnajem t7ot khattat l-t3lim w t3awn l-equipe ttzid. Y3awn fi l-entreprises w l-5idma l-kbira bash l-nas ykounou 9wiyin w l-5idma ttzid.
Knowledge Management,Hiya l-tari9a bash tnadhem l-m3lomat lli 3andek fi l-entreprise w t5allihom moujoudin b-tari9a mnadhma w nadhifa. Tnajem t3arf l-7ajat w t7ot khattat bash l-m3lomat tkoun claire. Y3awn fi l-entreprises w l-5idma l-kbira bash l-5idma ttzid w l-najja7 ykoun akbar.
